Problem Size,TTS,Method,Fit
38,374.89965121999995,QA,False
38,164.8843812942505,SA,True
6,2.0146045600000018,QA,True
6,0.009911537170410165,SA,True
44,291.68103886000006,QA,False
44,221.5237884521484,SA,True
20,283.34229515000004,QA,False
20,69.54454064369202,SA,True
44,324.47571805999996,QA,False
44,169.92802810668945,SA,True
30,288.46047584,QA,False
30,123.31296920776367,SA,True
18,314.48802815000005,QA,False
18,57.92695951461793,SA,True
44,292.89780046000004,QA,False
44,190.72842597961426,SA,True
44,284.74174323,QA,False
44,186.99002122879028,SA,True
42,294.89118363,QA,False
42,196.45280981063843,SA,True
16,233.87848680000002,QA,False
16,56.06326127052307,SA,True
26,285.52016403000005,QA,False
26,122.70757007598876,SA,True
34,292.90160541,QA,False
34,154.20543909072876,SA,True
42,285.26082363000006,QA,False
42,208.70226931571963,SA,True
32,273.11378283,QA,False
32,156.68785047531128,SA,True
44,294.48330612,QA,False
44,176.84606909751892,SA,True
32,298.51725497999996,QA,False
32,140.7559835910797,SA,True
36,324.89874603,QA,False
36,132.5793333053589,SA,True
30,259.95933134,QA,False
30,125.19438028335573,SA,True
12,52.78574747,QA,False
12,13.583950996398924,SA,True
44,291.73274523,QA,False
44,218.57316970825192,SA,True
32,284.95949201999997,QA,False
32,397.68351554870605,SA,True
50,327.72033415,QA,False
50,592.729024887085,SA,True
26,282.52318644999997,QA,False
26,346.2002491950988,SA,True
46,294.01166402999996,QA,False
46,344.78472232818604,SA,True
38,281.33423015,QA,False
38,275.0971841812134,SA,True
28,268.80967325999995,QA,False
28,194.6788787841797,SA,True
44,326.95868403000003,QA,False
44,419.67473888397217,SA,True
24,315.25160282999997,QA,False
24,181.5150089263916,SA,True
38,329.15593089,QA,False
38,368.1444396972656,SA,True
44,325.95275806,QA,False
44,561.2881450653076,SA,True
14,236.57683036,QA,False
14,77.15227508544922,SA,True
22,265.64945703,QA,False
22,134.22254467010498,SA,True
20,233.90298533,QA,False
20,151.62992119789124,SA,True
46,268.55115003000003,QA,False
46,343.05644035339355,SA,True
