Problem Size,ECLen,Formulation
52,3.9936708860759493,L
52,3.4393939393939394,F
52,1.8974358974358974,N
46,3.4825174825174825,L
46,3.0806451612903225,F
46,1.8867924528301887,N
50,3.9673202614379086,L
50,3.3692307692307693,F
50,1.7105263157894737,N
48,3.7094594594594597,L
48,3.129032258064516,F
48,1.8785046728971964,N
40,3.2578125,L
40,3.086206896551724,F
40,1.9183673469387754,N
50,3.803921568627451,L
50,3.484848484848485,F
50,1.9059829059829059,N
38,3.065040650406504,L
38,2.611111111111111,F
38,1.896551724137931,N
6,1.3333333333333333,L
6,1.0,F
6,1.0,N
44,3.579710144927536,L
44,3.0508474576271185,F
44,1.9494949494949494,N
44,3.6594202898550723,L
44,3.59375,F
44,1.8495575221238938,N
46,3.7412587412587412,L
46,3.4923076923076923,F
46,1.9478260869565218,N
20,2.0405405405405403,L
20,1.65625,F
20,1.4761904761904763,N
44,3.6594202898550723,L
44,3.59375,F
44,1.8495575221238938,N
36,2.7457627118644066,L
36,2.6481481481481484,F
36,1.8620689655172413,N
32,2.564814814814815,L
32,2.3958333333333335,F
32,1.7397260273972603,N
44,3.6449275362318843,L
44,2.7966101694915255,F
44,1.8484848484848484,N
46,3.4755244755244754,L
46,3.142857142857143,F
46,1.8623853211009174,N
50,3.7908496732026142,L
50,3.272727272727273,F
50,1.8620689655172413,N
28,2.2755102040816326,L
28,2.239130434782609,F
28,1.7761194029850746,N
44,3.3768115942028984,L
44,2.913793103448276,F
44,1.8979591836734695,N
30,2.3009708737864076,L
30,2.3541666666666665,F
30,1.7916666666666667,N
18,1.7397260273972603,L
18,2.026315789473684,F
18,1.8125,N
50,4.032679738562091,L
50,3.292307692307692,F
50,1.7982456140350878,N
44,3.398550724637681,L
44,3.0,F
44,1.911764705882353,N
44,3.63768115942029,L
44,2.9661016949152543,F
44,1.8282828282828283,N
42,3.082706766917293,L
42,2.8793103448275863,F
42,1.824742268041237,N
46,3.6223776223776225,L
46,3.2096774193548385,F
46,1.8691588785046729,N
16,1.71875,L
16,1.7,F
16,1.4736842105263157,N
26,2.225806451612903,L
26,2.282608695652174,F
26,1.7794117647058822,N
34,2.725663716814159,L
34,2.7547169811320753,F
34,1.8488372093023255,N
42,3.210526315789474,L
42,2.9166666666666665,F
42,1.9411764705882353,N
32,2.5277777777777777,L
32,2.36734693877551,F
32,1.7466666666666666,N
44,3.369565217391304,L
44,2.8135593220338984,F
44,1.878787878787879,N
38,2.983739837398374,L
38,2.857142857142857,F
38,1.8172043010752688,N
32,2.8653846153846154,L
32,2.3863636363636362,F
32,1.5833333333333333,N
54,4.147239263803681,L
54,3.4558823529411766,F
54,1.8760330578512396,N
36,2.6016949152542375,L
36,2.6153846153846154,F
36,1.880952380952381,N
46,3.4895104895104896,L
46,2.9836065573770494,F
46,1.8173076923076923,N
30,2.4466019417475726,L
30,2.106382978723404,F
30,1.7205882352941178,N
12,1.56,L
12,1.2105263157894737,F
12,1.2,N
50,4.045751633986928,L
50,3.5303030303030303,F
50,1.9059829059829059,N
44,3.528985507246377,L
44,3.1,F
44,1.8932038834951457,N
54,4.147239263803681,L
54,3.4558823529411766,F
54,1.884297520661157,N
32,2.462962962962963,L
32,2.4,F
32,1.8571428571428572,N
50,3.7450980392156863,L
50,3.230769230769231,F
50,1.8672566371681416,N
38,2.869918699186992,L
38,2.581818181818182,F
38,1.7727272727272727,N
26,2.161290322580645,L
26,2.111111111111111,F
26,1.75,N
44,3.5,L
44,3.2222222222222223,F
44,1.8909090909090909,N
46,3.6573426573426575,L
46,3.328125,F
46,1.8839285714285714,N
38,2.845528455284553,L
38,2.6,F
38,1.8764044943820224,N
52,4.025316455696203,L
52,3.4776119402985075,F
52,1.9075630252100841,N
52,4.170886075949367,L
52,3.588235294117647,F
52,1.9008264462809918,N
18,1.7971014492753623,L
18,1.6774193548387097,F
18,1.525,N
28,2.4574468085106385,L
28,2.15,F
28,1.532258064516129,N
48,3.72972972972973,L
48,3.1746031746031744,F
48,1.889908256880734,N
46,3.4825174825174825,L
46,2.9508196721311477,F
46,1.8557692307692308,N
44,3.5144927536231885,L
44,3.1311475409836067,F
44,1.8773584905660377,N
32,2.5277777777777777,L
32,2.3125,F
32,1.7777777777777777,N
44,3.4347826086956523,L
44,2.830508474576271,F
44,1.8585858585858586,N
50,4.006535947712418,L
50,3.537313432835821,F
50,1.9243697478991597,N
24,2.0681818181818183,L
24,1.8974358974358974,F
24,1.6875,N
52,4.056962025316456,L
52,3.6176470588235294,F
52,1.9090909090909092,N
38,2.813008130081301,L
38,2.9107142857142856,F
38,1.7872340425531914,N
50,3.869281045751634,L
50,3.484848484848485,F
50,1.8632478632478633,N
44,3.4782608695652173,L
44,3.0163934426229506,F
44,1.9423076923076923,N
14,1.6545454545454545,L
14,1.3636363636363635,F
14,1.2592592592592593,N
22,1.927710843373494,L
22,2.2195121951219514,F
22,1.8214285714285714,N
20,1.9230769230769231,L
20,2.25,F
20,1.8148148148148149,N
46,3.5734265734265733,L
46,3.1311475409836067,F
46,1.8571428571428572,N
52,4.056962025316456,L
52,3.5294117647058822,F
52,1.9090909090909092,N
