Problem Size,#Qubits,Formulation
52,631,L
52,227,F
52,216,N
46,498,L
46,191,F
46,192,N
50,607,L
50,219,F
50,215,N
48,549,L
48,194,F
48,197,N
40,417,L
40,179,F
40,182,N
50,582,L
50,230,F
50,223,N
38,377,L
38,141,F
38,162,N
6,36,L
6,8,F
6,7,N
44,494,L
44,180,F
44,193,N
44,505,L
44,230,F
44,209,N
46,535,L
46,227,F
46,214,N
20,151,L
20,53,F
20,62,N
44,505,L
44,230,F
44,209,N
36,324,L
36,143,F
36,171,N
32,277,L
32,115,F
32,136,N
44,503,L
44,165,F
44,183,N
46,497,L
46,198,F
46,203,N
50,580,L
50,216,F
50,214,N
28,223,L
28,103,F
28,126,N
44,466,L
44,169,F
44,186,N
30,237,L
30,113,F
30,129,N
18,127,L
18,77,F
18,84,N
50,617,L
50,214,F
50,211,N
44,469,L
44,180,F
44,190,N
44,502,L
44,175,F
44,181,N
42,410,L
42,167,F
42,179,N
46,518,L
46,199,F
46,201,N
16,110,L
16,51,F
16,59,N
26,207,L
26,105,F
26,125,N
34,308,L
34,146,F
34,172,N
42,427,L
42,175,F
42,194,N
32,273,L
32,116,F
32,133,N
44,465,L
44,166,F
44,187,N
38,367,L
38,160,F
38,174,N
32,298,L
32,105,F
32,115,N
54,676,L
54,235,F
54,227,N
36,307,L
36,136,F
36,158,N
46,499,L
46,182,F
46,198,N
30,252,L
30,99,F
30,118,N
12,78,L
12,23,F
12,24,N
50,619,L
50,233,F
50,223,N
44,487,L
44,186,F
44,195,N
54,676,L
54,235,F
54,228,N
32,266,L
32,120,F
32,131,N
50,573,L
50,210,F
50,214,N
38,353,L
38,142,F
38,156,N
26,201,L
26,95,F
26,112,N
44,483,L
44,203,F
44,209,N
46,523,L
46,213,F
46,213,N
38,350,L
38,143,F
38,165,N
52,636,L
52,233,F
52,228,N
52,659,L
52,244,F
52,228,N
18,124,L
18,52,F
18,66,N
28,231,L
28,86,F
28,95,N
48,552,L
48,200,F
48,204,N
46,498,L
46,180,F
46,185,N
44,485,L
44,191,F
44,198,N
32,273,L
32,111,F
32,130,N
44,474,L
44,167,F
44,182,N
50,613,L
50,237,F
50,225,N
24,182,L
24,74,F
24,81,N
52,641,L
52,246,F
52,231,N
38,346,L
38,163,F
38,176,N
50,592,L
50,230,F
50,226,N
44,480,L
44,184,F
44,195,N
14,91,L
14,30,F
14,34,N
22,160,L
22,91,F
22,99,N
20,150,L
20,90,F
20,97,N
46,511,L
46,191,F
46,195,N
52,641,L
52,240,F
52,231,N
