Problem Size,%Sol,Formulation
52,0.0,L
52,0.0,F
52,35.5,N
46,0.0,L
46,0.0,F
46,48.199999999999996,N
50,0.0,L
50,0.1,F
50,61.5,N
48,0.0,L
48,0.1,F
48,61.5,N
40,0.0,L
40,0.0,F
40,31.8,N
50,0.0,L
50,0.0,F
50,24.4,N
38,0.0,L
38,0.0,F
38,21.9,N
6,20.200000000000003,L
6,99.8,F
6,99.4,N
44,0.0,L
44,0.0,F
44,34.4,N
44,0.0,L
44,0.0,F
44,8.799999999999999,N
46,0.0,L
46,0.0,F
46,10.0,N
20,0.0,L
20,3.9,F
20,87.1,N
44,0.0,L
44,0.0,F
44,14.499999999999998,N
36,0.0,L
36,0.0,F
36,22.5,N
32,0.0,L
32,0.8999999999999999,F
32,42.9,N
44,0.0,L
44,0.3,F
44,18.099999999999998,N
46,0.0,L
46,0.0,F
46,16.7,N
50,0.0,L
50,0.0,F
50,33.2,N
28,0.0,L
28,0.0,F
28,71.89999999999999,N
44,0.0,L
44,0.2,F
44,38.9,N
30,0.1,L
30,0.0,F
30,63.2,N
18,0.0,L
18,0.0,F
18,44.3,N
50,0.0,L
50,0.0,F
50,61.4,N
44,0.0,L
44,0.0,F
44,37.1,N
44,0.0,L
44,0.1,F
44,18.2,N
42,0.0,L
42,0.4,F
42,37.3,N
46,0.0,L
46,0.0,F
46,26.200000000000003,N
16,0.1,L
16,0.1,F
16,77.9,N
26,0.0,L
26,0.0,F
26,22.2,N
34,0.0,L
34,0.0,F
34,32.2,N
42,0.0,L
42,0.1,F
42,21.099999999999998,N
32,0.0,L
32,0.1,F
32,36.6,N
44,0.0,L
44,0.0,F
44,27.400000000000002,N
38,0.0,L
38,0.1,F
38,21.7,N
32,0.0,L
32,0.8,F
32,76.0,N
54,0.0,L
54,0.0,F
54,34.0,N
36,0.0,L
36,0.0,F
36,44.5,N
46,0.0,L
46,0.0,F
46,33.7,N
30,0.0,L
30,0.1,F
30,75.9,N
12,0.1,L
12,5.1,F
12,89.9,N
50,0.0,L
50,0.0,F
50,24.8,N
44,0.0,L
44,0.1,F
44,40.6,N
54,0.0,L
54,0.0,F
54,18.5,N
32,0.0,L
32,0.1,F
32,42.699999999999996,N
50,0.0,L
50,0.0,F
50,53.300000000000004,N
38,0.0,L
38,0.2,F
38,38.3,N
26,0.0,L
26,0.0,F
26,77.10000000000001,N
44,0.0,L
44,0.0,F
44,15.7,N
46,0.0,L
46,0.0,F
46,42.5,N
38,0.0,L
38,0.0,F
38,71.2,N
52,0.0,L
52,0.0,F
52,39.900000000000006,N
52,0.0,L
52,0.0,F
52,54.900000000000006,N
18,0.0,L
18,1.4000000000000001,F
18,85.1,N
28,0.0,L
28,0.8,F
28,87.1,N
48,0.0,L
48,0.0,F
48,29.299999999999997,N
46,0.0,L
46,0.0,F
46,38.6,N
44,0.0,L
44,0.1,F
44,24.9,N
32,0.0,L
32,0.5,F
32,68.10000000000001,N
44,0.0,L
44,0.0,F
44,29.7,N
50,0.0,L
50,0.0,F
50,19.0,N
24,0.0,L
24,2.9000000000000004,F
24,91.3,N
52,0.0,L
52,0.0,F
52,26.0,N
38,0.0,L
38,0.0,F
38,37.9,N
50,0.0,L
50,0.0,F
50,21.9,N
44,0.0,L
44,0.0,F
44,28.000000000000004,N
14,0.0,L
14,3.4000000000000004,F
14,68.2,N
22,0.0,L
22,0.0,F
22,74.6,N
20,0.0,L
20,0.3,F
20,59.5,N
46,0.0,L
46,0.0,F
46,35.6,N
52,0.0,L
52,0.0,F
52,21.4,N
