Problem Size,%Sol,Method,Fit
40,15.1,QA,False
40,96.89999999999999,SA,True
50,19.0,QA,False
50,92.4,SA,True
38,0.0,QA,False
38,95.0,SA,True
6,7.6,QA,False
6,94.69999999999999,SA,True
44,1.0,QA,False
44,81.89999999999999,SA,True
44,50.7,QA,False
44,93.5,SA,True
46,25.3,QA,False
46,90.10000000000001,SA,True
20,99.2,QA,True
20,99.9,SA,True
44,0.0,QA,False
44,92.10000000000001,SA,True
36,7.1,QA,False
36,29.4,SA,True
32,0.0,QA,False
32,60.6,SA,True
44,63.2,QA,False
44,96.1,SA,True
46,6.3,QA,False
46,27.500000000000004,SA,True
50,0.7000000000000001,QA,False
50,71.6,SA,True
28,0.0,QA,False
28,91.8,SA,True
44,0.0,QA,False
44,93.2,SA,True
30,28.1,QA,False
30,86.7,SA,True
18,0.8999999999999999,QA,False
18,89.8,SA,True
50,0.0,QA,False
50,86.9,SA,True
44,40.400000000000006,QA,False
44,96.3,SA,True
44,39.300000000000004,QA,False
44,87.3,SA,True
42,0.5,QA,False
42,64.9,SA,True
46,10.5,QA,False
46,92.9,SA,True
16,23.5,QA,False
16,92.80000000000001,SA,True
26,11.0,QA,False
26,92.30000000000001,SA,True
34,32.4,QA,False
34,92.0,SA,True
42,21.099999999999998,QA,False
42,92.9,SA,True
32,35.3,QA,False
32,70.89999999999999,SA,True
44,5.8999999999999995,QA,False
44,25.7,SA,True
38,24.9,QA,False
38,53.300000000000004,SA,True
32,17.2,QA,False
32,77.5,SA,True
54,40.400000000000006,QA,False
54,92.0,SA,True
36,35.699999999999996,QA,False
36,91.5,SA,True
46,24.9,QA,False
46,70.6,SA,True
30,86.9,QA,False
30,91.60000000000001,SA,True
12,9.0,QA,False
12,94.89999999999999,SA,True
50,32.5,QA,False
50,92.5,SA,True
44,20.9,QA,False
44,92.60000000000001,SA,True
54,59.3,QA,False
54,93.10000000000001,SA,True
32,83.89999999999999,QA,False
32,53.5,SA,True
50,15.8,QA,False
50,93.5,SA,True
38,25.900000000000002,QA,False
38,94.89999999999999,SA,True
26,16.6,QA,False
26,94.3,SA,True
44,30.2,QA,False
44,72.39999999999999,SA,True
46,28.000000000000004,QA,False
46,93.89999999999999,SA,True
38,28.199999999999996,QA,False
38,87.2,SA,True
52,33.0,QA,False
52,65.7,SA,True
52,4.6,QA,False
52,64.0,SA,True
18,6.3,QA,False
18,75.8,SA,True
28,24.5,QA,False
28,86.0,SA,True
48,14.499999999999998,QA,False
48,93.89999999999999,SA,True
46,11.899999999999999,QA,False
46,91.5,SA,True
44,88.3,QA,False
44,96.2,SA,True
32,77.5,QA,False
32,91.9,SA,True
44,24.099999999999998,QA,False
44,94.1,SA,True
50,67.5,QA,False
50,94.8,SA,True
24,23.1,QA,False
24,78.0,SA,True
52,70.1,QA,False
52,96.7,SA,True
38,35.6,QA,False
38,95.6,SA,True
50,21.2,QA,False
50,90.10000000000001,SA,True
44,85.7,QA,False
44,91.8,SA,True
14,37.5,QA,False
14,92.10000000000001,SA,True
22,26.8,QA,False
22,88.2,SA,True
20,19.0,QA,False
20,93.0,SA,True
46,30.099999999999998,QA,False
46,88.4,SA,True
52,33.7,QA,False
52,41.099999999999994,SA,True
