Problem Size,TTS,Method,Fit
46,341.25432649,QA,False
46,204.47600054740906,SA,True
50,343.71595415,QA,True
50,193.39241981506348,SA,True
38,274.31218323,QA,False
38,164.8843812942505,SA,True
6,1.9317393900000015,QA,True
6,0.009911537170410165,SA,True
44,324.28456083000003,QA,False
44,192.04453992843625,SA,True
44,291.39435649,QA,False
44,221.5237884521484,SA,True
46,336.66416883,QA,False
46,268.65119075775146,SA,True
20,248.17008686,QA,True
20,69.54454064369202,SA,True
44,269.47182843,QA,False
44,213.94318556785583,SA,True
36,310.49753478,QA,False
36,167.7032732963562,SA,True
32,313.05204669,QA,True
32,129.38433265686035,SA,True
44,286.34634609,QA,False
44,189.2863883972168,SA,True
46,344.12515577999994,QA,False
46,216.80609083175656,SA,True
28,319.26170199,QA,True
28,104.90370273590088,SA,True
30,288.46047584,QA,True
30,123.31296920776367,SA,True
18,192.99876288000002,QA,False
18,57.92695951461793,SA,True
44,292.89780046000004,QA,False
44,190.72842597961426,SA,True
44,284.74174323,QA,False
44,186.99002122879028,SA,True
42,294.89118363,QA,False
42,196.45280981063843,SA,True
16,233.87848680000002,QA,True
16,56.06326127052307,SA,True
26,285.52016403000005,QA,True
26,122.70757007598876,SA,True
34,292.90160541,QA,False
34,154.20543909072876,SA,True
42,285.26082363000006,QA,False
42,208.70226931571963,SA,True
32,273.11378283,QA,True
32,156.68785047531128,SA,True
44,294.48330612,QA,False
44,176.84606909751892,SA,True
32,298.51725497999996,QA,True
32,140.7559835910797,SA,True
36,324.89874603,QA,False
36,132.5793333053589,SA,True
30,259.95933134,QA,True
30,125.19438028335573,SA,True
12,52.78574747,QA,True
12,13.583950996398924,SA,True
44,291.73274523,QA,False
44,218.57316970825192,SA,True
32,284.95949201999997,QA,False
32,397.68351554870605,SA,True
50,327.72033415,QA,False
50,592.729024887085,SA,True
26,282.52318644999997,QA,True
26,346.2002491950988,SA,True
46,294.01166402999996,QA,False
46,344.78472232818604,SA,True
38,281.33423015,QA,False
38,275.0971841812134,SA,True
